t,theta,omega,energy
0.586,-0.153421,-2.34864,2.87328
0.587,-0.155769,-2.34713,2.87328
0.588,-0.158115,-2.3456,2.87328
0.589,-0.16046,-2.34404,2.87328
0.59,-0.162803,-2.34246,2.87328
0.591,-0.165145,-2.34086,2.87328
0.592,-0.167485,-2.33924,2.87328
0.593,-0.169823,-2.33759,2.87328
0.594,-0.17216,-2.33592,2.87328
0.595,-0.174495,-2.33423,2.87328
0.596,-0.176828,-2.33251,2.87328
0.597,-0.17916,-2.33078,2.87328
0.598,-0.18149,-2.32902,2.87328
0.599,-0.183818,-2.32724,2.87328
0.6,-0.186144,-2.32543,2.87328
0.601,-0.188469,-2.3236,2.87328
0.602,-0.190792,-2.32176,2.87328
0.603,-0.193112,-2.31988,2.87328
0.604,-0.195431,-2.31799,2.87328
0.605,-0.197748,-2.31607,2.87328
0.606,-0.200064,-2.31414,2.87328
0.607,-0.202377,-2.31217,2.87328
0.608,-0.204688,-2.31019,2.87328
0.609,-0.206997,-2.30819,2.87328
0.61,-0.209304,-2.30616,2.87328
0.611,-0.211609,-2.30411,2.87328
0.612,-0.213912,-2.30204,2.87328
0.613,-0.216213,-2.29995,2.87328
0.614,-0.218512,-2.29783,2.87328
0.615,-0.220809,-2.29569,2.87328
0.616,-0.223104,-2.29353,2.87328
0.617,-0.225396,-2.29135,2.87328
0.618,-0.227686,-2.28915,2.87328
0.619,-0.229974,-2.28692,2.87328
0.62,-0.23226,-2.28468,2.87328
0.621,-0.234544,-2.28241,2.87328
0.622,-0.236825,-2.28012,2.87328
0.623,-0.239104,-2.2778,2.87328
0.624,-0.241381,-2.27547,2.87328
0.625,-0.243655,-2.27311,2.87328
0.626,-0.245927,-2.27074,2.87328
0.627,-0.248196,-2.26834,2.87328
0.628,-0.250464,-2.26592,2.87328
0.629,-0.252728,-2.26347,2.87328
0.63,-0.254991,-2.26101,2.87328
0.631,-0.25725,-2.25852,2.87328
0.632,-0.259508,-2.25602,2.87328
0.633,-0.261762,-2.25349,2.87328
0.634,-0.264015,-2.25094,2.87328
0.635,-0.266264,-2.24837,2.87328
0.636,-0.268511,-2.24578,2.87328
0.637,-0.270756,-2.24317,2.87328
0.638,-0.272998,-2.24053,2.87328
0.639,-0.275237,-2.23788,2.87328
0.64,-0.277473,-2.2352,2.87328
0.641,-0.279707,-2.2325,2.87328
0.642,-0.281938,-2.22978,2.87328
0.643,-0.284167,-2.22704,2.87328
0.644,-0.286392,-2.22428,2.87328
0.645,-0.288615,-2.2215,2.87328
0.646,-0.290835,-2.2187,2.87328
0.647,-0.293053,-2.21587,2.87328
0.648,-0.295267,-2.21303,2.87328
0.649,-0.297479,-2.21016,2.87328
0.65,-0.299687,-2.20728,2.87328
0.651,-0.301893,-2.20437,2.87328
0.652,-0.304096,-2.20144,2.87328
0.653,-0.306296,-2.1985,2.87328
0.654,-0.308493,-2.19553,2.87328
0.655,-0.310687,-2.19254,2.87328
0.656,-0.312878,-2.18953,2.87328
0.657,-0.315066,-2.1865,2.87328
0.658,-0.317251,-2.18345,2.87328
0.659,-0.319433,-2.18038,2.87328
0.66,-0.321612,-2.17729,2.87328
0.661,-0.323788,-2.17418,2.87328
0.662,-0.32596,-2.17105,2.87328
0.663,-0.32813,-2.1679,2.87328
0.664,-0.330296,-2.16472,2.87328
0.665,-0.332459,-2.16153,2.87328
0.666,-0.334619,-2.15832,2.87328
0.667,-0.336776,-2.15509,2.87328
0.668,-0.338929,-2.15184,2.87328
0.669,-0.34108,-2.14857,2.87328
0.67,-0.343226,-2.14527,2.87328
0.671,-0.34537,-2.14196,2.87328
0.672,-0.34751,-2.13863,2.87328
0.673,-0.349647,-2.13528,2.87328
0.674,-0.351781,-2.13191,2.87328
0.675,-0.353911,-2.12852,2.87328
0.676,-0.356038,-2.12511,2.87328
0.677,-0.358161,-2.12168,2.87328
0.678,-0.360281,-2.11823,2.87328
0.679,-0.362398,-2.11477,2.87328
0.68,-0.364511,-2.11128,2.87328
0.681,-0.36662,-2.10777,2.87328
0.682,-0.368726,-2.10425,2.87328
0.683,-0.370829,-2.1007,2.87328
0.684,-0.372928,-2.09714,2.87328
